sAMAccountName,password,ou,department,groups,userPrincipalName,givenName,initials,sn,displayname,description,physicalDeliveryOfficeName,telephoneNumber,mail,wwwHomepage,StreetAddress,postOfficeBox,l,st,postalCode,c,profilePath,scriptPath,homeDrive,homeDirectory,homePhone,mobile,ipPhone,title,company,employeeid,employeenumber,manager,proxyAddresses
Ebony.Kelly,Football22!,"OU=Marketing,OU=ADPRO Users,DC=ad,DC=activedirectorypro,DC=com",Marketing,"Marketing_local,Marketing_Folders",Ebony.Kelly@activedirectorypro.com,Ebony,B,Kelly,Ebony Kelly,Marketing User,Marketing Office,###-###-####,Ebony.Kelly@activedirectorypro.com,activedirectorypro.com,#### Berry Lane, PO Box 1234,Tulsa,OK,74120,US,\\server\profiles\%username%,marketing.bat,z:,\\server\users\Marketing\%username%,###-###-####,###-###-####,###-###-####,Marketing Coordinator,Active Directory Pro,1010,11,robert.allen,SMTP:Ebony.Kelly@activedirectorypro.com
Karen.Spies,Football22!,"OU=Marketing,OU=ADPRO Users,DC=ad,DC=activedirectorypro,DC=com",Marketing,"Marketing_local,Marketing_Folders",Karen.Spies@activedirectorypro.com,Karen,J,Spies,Karen Spies,Marketing User,Marketing Office,###-###-####,Karen.Spies@activedirectorypro.com,activedirectorypro.com,#### Berry Lane, PO Box 1234,Gresham,WI,54128,US,\\server\profiles\%username%,marketing.bat,z:,\\server\users\Marketing\%username%,###-###-####,###-###-####,###-###-####,Marketing Coordinator,Active Directory Pro,1011,12,robert.allen,SMTP:Karen.Spies@activedirectorypro.com
Robert.Slade,Football22!,"OU=Marketing,OU=ADPRO Users,DC=ad,DC=activedirectorypro,DC=com",Marketing,"Marketing_local,Marketing_Folders",Robert.Slade@activedirectorypro.com,Robert,L,Slade,Robert Slade,Marketing User,Marketing Office,###-###-####,Robert.Slade@activedirectorypro.com,activedirectorypro.com,#### Berry Lane, PO Box 1234,Fredericksburg,IN,47120,US,\\server\profiles\%username%,marketing.bat,z:,\\server\users\Marketing\%username%,###-###-####,###-###-####,###-###-####,Marketing Coordinator,Active Directory Pro,1012,13,robert.allen,SMTP:Robert.Slade@activedirectorypro.com
Adam.Anderson,Football22!,"OU=Marketing,OU=ADPRO Users,DC=ad,DC=activedirectorypro,DC=com",Marketing,"Marketing_local,Marketing_Folders",Adam.Anderson@activedirectorypro.com,Adam,A,Anderson,Adam Anderson,Marketing User,Marketing Office,###-###-####,Adam.Anderson@activedirectorypro.com,activedirectorypro.com,#### Berry Lane, PO Box 1234,Boston,MA,2210,US,\\server\profiles\%username%,marketing.bat,z:,\\server\users\Marketing\%username%,###-###-####,###-###-####,###-###-####,Marketing Coordinator,Active Directory Pro,1013,14,robert.allen,SMTP:Adam.Anderson@activedirectorypro.com
Debbie.Alexander,Football22!,"OU=Marketing,OU=ADPRO Users,DC=ad,DC=activedirectorypro,DC=com",Marketing,"Marketing_local,Marketing_Folders",Debbie.Alexander@activedirectorypro.com,Debbie,K,Alexander,Debbie Alexander,Marketing User,Marketing Office,###-###-####,Debbie.Alexander@activedirectorypro.com,activedirectorypro.com,#### Berry Lane, PO Box 1234,Sioux City,IA,51101,US,\\server\profiles\%username%,marketing.bat,z:,\\server\users\Marketing\%username%,###-###-####,###-###-####,###-###-####,Marketing Coordinator,Active Directory Pro,1014,15,robert.allen,SMTP:Debbie.Alexander@activedirectorypro.com
Aimee.Delk,Football22!,"OU=Marketing,OU=ADPRO Users,DC=ad,DC=activedirectorypro,DC=com",Marketing,"Marketing_local,Marketing_Folders",Aimee.Delk@activedirectorypro.com,Aimee,P,Delk,Aimee Delk,Marketing User,Marketing Office,###-###-####,Aimee.Delk@activedirectorypro.com,activedirectorypro.com,#### Berry Lane, PO Box 1234,Denver,CO,80239,US,\\server\profiles\%username%,marketing.bat,z:,\\server\users\Marketing\%username%,###-###-####,###-###-####,###-###-####,Marketing Coordinator,Active Directory Pro,1015,16,robert.allen,SMTP:Aimee.Delk@activedirectorypro.com
Edward.Gordon,Football22!,"OU=Marketing,OU=ADPRO Users,DC=ad,DC=activedirectorypro,DC=com",Marketing,"Marketing_local,Marketing_Folders",Edward.Gordon@activedirectorypro.com,Edward,A,Gordon,Edward Gordon,Marketing User,Marketing Office,###-###-####,Edward.Gordon@activedirectorypro.com,activedirectorypro.com,#### Berry Lane, PO Box 1234,Bellbrook,OH,45305,US,\\server\profiles\%username%,marketing.bat,z:,\\server\users\Marketing\%username%,###-###-####,###-###-####,###-###-####,Marketing Coordinator,Active Directory Pro,1016,17,robert.allen,SMTP:Edward.Gordon@activedirectorypro.com
Joe.Sims,Football22!,"OU=Marketing,OU=ADPRO Users,DC=ad,DC=activedirectorypro,DC=com",Marketing,"Marketing_local,Marketing_Folders",Joe.Sims@activedirectorypro.com,Joe,B,Sims,Joe Sims,Marketing User,Marketing Office,###-###-####,Joe.Sims@activedirectorypro.com,activedirectorypro.com,#### Berry Lane, PO Box 1234,Indianapolis,IN,46225,US,\\server\profiles\%username%,marketing.bat,z:,\\server\users\Marketing\%username%,###-###-####,###-###-####,###-###-####,Marketing Coordinator,Active Directory Pro,1017,18,robert.allen,SMTP:Joe.Sims@activedirectorypro.com
John.Teague,Football22!,"OU=Marketing,OU=ADPRO Users,DC=ad,DC=activedirectorypro,DC=com",Marketing,"Marketing_local,Marketing_Folders",John.Teague@activedirectorypro.com,John,S,Teague,John Teague,Marketing User,Marketing Office,###-###-####,John.Teague@activedirectorypro.com,activedirectorypro.com,#### Berry Lane, PO Box 1234,Kansas City,MO,64106,US,\\server\profiles\%username%,marketing.bat,z:,\\server\users\Marketing\%username%,###-###-####,###-###-####,###-###-####,Marketing Coordinator,Active Directory Pro,1018,19,robert.allen,SMTP:John.Teague@activedirectorypro.com
Ramona.Quintana,Football22!,"OU=Marketing,OU=ADPRO Users,DC=ad,DC=activedirectorypro,DC=com",Marketing,"Marketing_local,Marketing_Folders",Ramona.Quintana@activedirectorypro.com,Ramona,R,Quintana,Ramona Quintana,Marketing User,Marketing Office,###-###-####,Ramona.Quintana@activedirectorypro.com,activedirectorypro.com,#### Berry Lane, PO Box 1234,Detroit,MI,48226,US,\\server\profiles\%username%,marketing.bat,z:,\\server\users\Marketing\%username%,###-###-####,###-###-####,###-###-####,Marketing Coordinator,Active Directory Pro,1019,20,robert.allen,SMTP:Ramona.Quintana@activedirectorypro.com
